timeStamp,aircraftCode,testNumber,parameterCode,minValue,maxValue,currentValue,Result
2022-06-17T09:12:30.327-03,PRZFV,4,780935,20,50,47.13815837587126,SUCESSO!
2022-06-17T09:12:30.327-03,PRZFV,4,123456,20,40,26.593547543871708,SUCESSO!
2022-06-17T09:12:30.326-03,PRZFV,4,654321,10,120,68.94112798748587,SUCESSO!
2022-06-17T09:12:30.373-03,PRZFV,4,780935,20,50,32.8489665495476,SUCESSO!
2022-06-17T09:12:30.390-03,PRZFV,4,654321,10,120,79.29053640393217,SUCESSO!
2022-06-17T09:12:30.407-03,PRZFV,4,780935,20,50,42.15310671823592,SUCESSO!
2022-06-17T09:12:30.440-03,PRZFV,4,780935,20,50,31.81969486975782,SUCESSO!
2022-06-17T09:12:30.440-03,PRZFV,4,123456,20,40,33.23607619371487,SUCESSO!
2022-06-17T09:12:30.441-03,PRZFV,4,654321,10,120,88.34111455708906,SUCESSO!
2022-06-17T09:12:30.474-03,PRZFV,4,780935,20,50,39.150621571465436,SUCESSO!
2022-06-17T09:12:30.491-03,PRZFV,4,654321,10,120,13.16767732222672,SUCESSO!
2022-06-17T09:12:30.508-03,PRZFV,4,780935,20,50,47.61072988251229,SUCESSO!
2022-06-17T09:12:30.541-03,PRZFV,4,123456,20,40,20.457203345269413,SUCESSO!
2022-06-17T09:12:30.541-03,PRZFV,4,780935,20,50,25.34547641886139,SUCESSO!
2022-06-17T09:12:30.543-03,PRZFV,4,654321,10,120,78.04736257709901,SUCESSO!
2022-06-17T09:12:30.575-03,PRZFV,4,780935,20,50,27.937677702233668,SUCESSO!
2022-06-17T09:12:30.594-03,PRZFV,4,654321,10,120,106.6267751770083,SUCESSO!
2022-06-17T09:12:30.611-03,PRZFV,4,780935,20,50,38.14635397190014,SUCESSO!
2022-06-17T09:12:30.642-03,PRZFV,4,123456,20,40,35.23534780427815,SUCESSO!
2022-06-17T09:12:30.646-03,PRZFV,4,780935,20,50,33.827607921105155,SUCESSO!
2022-06-17T09:12:30.646-03,PRZFV,4,654321,10,120,115.13715866762679,SUCESSO!
2022-06-17T09:12:30.680-03,PRZFV,4,780935,20,50,32.40120050856481,SUCESSO!
2022-06-17T09:12:30.697-03,PRZFV,4,654321,10,120,85.93675274554532,SUCESSO!
2022-06-17T09:12:30.714-03,PRZFV,4,780935,20,50,47.42620956592661,SUCESSO!
2022-06-17T09:12:30.747-03,PRZFV,4,123456,20,40,24.439810333570612,SUCESSO!
2022-06-17T09:12:30.747-03,PRZFV,4,780935,20,50,23.10561797991915,SUCESSO!
2022-06-17T09:12:30.748-03,PRZFV,4,654321,10,120,64.36579294684566,SUCESSO!
2022-06-17T09:12:30.781-03,PRZFV,4,780935,20,50,23.543365021319776,SUCESSO!
2022-06-17T09:12:30.798-03,PRZFV,4,654321,10,120,78.91419263028172,SUCESSO!
2022-06-17T09:12:30.815-03,PRZFV,4,780935,20,50,36.07059786919964,SUCESSO!
2022-06-17T09:12:30.847-03,PRZFV,4,123456,20,40,38.53374681520837,SUCESSO!
2022-06-17T09:12:30.848-03,PRZFV,4,780935,20,50,47.49668487190334,SUCESSO!
2022-06-17T09:12:30.849-03,PRZFV,4,654321,10,120,21.059755128083097,SUCESSO!
2022-06-17T09:12:30.881-03,PRZFV,4,780935,20,50,38.235196590967846,SUCESSO!
2022-06-17T09:12:30.899-03,PRZFV,4,654321,10,120,36.41872343050865,SUCESSO!
2022-06-17T09:12:30.915-03,PRZFV,4,780935,20,50,20.682818044756324,SUCESSO!
2022-06-17T09:12:30.948-03,PRZFV,4,123456,20,40,39.63717921851264,SUCESSO!
2022-06-17T09:12:30.949-03,PRZFV,4,780935,20,50,34.48752211396214,SUCESSO!
2022-06-17T09:12:30.950-03,PRZFV,4,654321,10,120,89.82637062172068,SUCESSO!
2022-06-17T09:12:30.982-03,PRZFV,4,780935,20,50,31.255293218465386,SUCESSO!
2022-06-17T09:12:31.000-03,PRZFV,4,654321,10,120,120.67468275172928,ERRO
2022-06-17T09:12:31.016-03,PRZFV,4,780935,20,50,24.658167544678207,SUCESSO!
2022-06-17T09:12:31.048-03,PRZFV,4,123456,20,40,22.185960291560615,SUCESSO!
2022-06-17T09:12:31.049-03,PRZFV,4,780935,20,50,33.105212369201624,SUCESSO!
2022-06-17T09:12:31.051-03,PRZFV,4,654321,10,120,31.556950580156993,SUCESSO!
2022-06-17T09:12:31.083-03,PRZFV,4,780935,20,50,41.08844928174795,SUCESSO!
2022-06-17T09:12:31.101-03,PRZFV,4,654321,10,120,89.14819203420136,SUCESSO!
2022-06-17T09:12:31.116-03,PRZFV,4,780935,20,50,34.98480295506491,SUCESSO!
2022-06-17T09:12:31.149-03,PRZFV,4,123456,20,40,24.514246741496418,SUCESSO!
2022-06-17T09:12:31.150-03,PRZFV,4,780935,20,50,39.8204981473592,SUCESSO!
2022-06-17T09:12:31.152-03,PRZFV,4,654321,10,120,93.19493440118082,SUCESSO!
2022-06-17T09:12:31.183-03,PRZFV,4,780935,20,50,38.6830429118788,SUCESSO!
2022-06-17T09:12:31.202-03,PRZFV,4,654321,10,120,77.10699007096845,SUCESSO!
2022-06-17T09:12:31.216-03,PRZFV,4,780935,20,50,40.50610682807767,SUCESSO!
2022-06-17T09:12:31.250-03,PRZFV,4,123456,20,40,22.92560647855187,SUCESSO!
